AREOPORTO_PARTENZA,AREOPORTO_ARRIVO,PAESE_PART,ZONA,tot_investigati,tasso_allarme,alert_rate_alb,pct_respinto,pct_segnalato,anomaly_iso,anomaly_lof,anomaly_zscore,anomaly_consensus,n_flags,anomaly_score
amm,fco,giordania,5,0.0,0.17504013260736295,0.0,0.0,0.25,0,0,0,0,0,0.09546858956648911
tia,suf,albania,6,164.0,0.1402439024390244,0.1402439024390244,0.09090909090909091,0.09090909090909091,0,0,0,0,0,0.09420029685411828
rak,fco,marocco,5,4.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.09327196052730315
lcy,flr,regno unito,8,6.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0,0,0,0,0,0.09195200156834087
lgw,vrn,regno unito,4,30.0,0.16666666666666666,0.17857142857142858,0.4117647058823529,0.0,0,0,0,0,0,0.09169171621743384
can,fco,cina,5,5.0,0.0,0.0,0.5,0.5,0,0,0,0,1,0.09106003455770158
stn,pmo,regno unito,7,5.0,0.0,0.0,0.4,0.0,0,0,0,0,0,0.0895837684850584
man,blq,regno unito,8,22.0,0.3181818181818182,0.3333333333333333,0.2,0.2,0,0,0,0,0,0.08909733087662391
hrg,mxp,egitto,2,14.0,0.35714285714285715,0.35714285714285715,0.25,0.0,0,0,0,0,0,0.08542707849587022
pvg,fco,cina,5,7.0,0.2857142857142857,0.2857142857142857,0.25,0.0,0,0,0,0,0,0.08282510317990043
stn,nap,regno unito,6,11.0,0.09090909090909091,0.09090909090909091,0.0,0.0,0,0,0,0,0,0.08183511295979683
amm,cia,giordania,5,2.0,0.0,0.0,0.0,1.0,0,0,1,0,0,0.08172837284358334
stn,psr,regno unito,9,13.0,0.3076923076923077,0.3076923076923077,0.16666666666666666,0.16666666666666666,0,0,0,0,0,0.0782116548205158
brs,bgy,regno unito,2,17.0,0.058823529411764705,0.058823529411764705,0.0,0.0,0,0,0,0,0,0.07632137024721647
ltn,blq,regno unito,8,28.0,0.17857142857142858,0.17857142857142858,0.35714285714285715,0.21428571428571427,0,0,0,0,0,0.07489065881114557
ewr,fco,stati uniti,5,9.0,0.1111111111111111,0.1111111111111111,0.6666666666666666,0.0,0,0,0,0,1,0.07435864470090577
ltn,mxp,regno unito,2,31.0,0.22580645161290322,0.2222222222222222,0.07692307692307693,0.3076923076923077,0,0,0,0,0,0.07414261731983206
lgw,psa,regno unito,8,18.0,0.1111111111111111,0.13333333333333333,0.4166666666666667,0.16666666666666666,0,0,0,0,0,0.0735966027182658
spx,fco,egitto,5,23.0,0.0,0.0,0.5,0.25,0,0,0,0,1,0.07357950663262038
ewr,mxp,stati uniti,2,30.0,0.16666666666666666,0.1111111111111111,0.3,0.1,0,0,0,0,0,0.07104254361498778
icn,fco,corea del sud,5,2.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.07104022838079467
