OCCORRENZE,AREOPORTO_ARRIVO,AREOPORTO_PARTENZA,DATA_PARTENZA,CITTA_ARR,CITTA_PARTENZA,PAESE_PART,ZONA,TOT,MOTIVO_ALLARME,note_operatore,flag_rischio
viaggiatori entrati,fco,kwi,2024-02-15 08:35:00,roma,kuwait city,kuwait,5,108,manuale,,
voli con allarmi,fco,atl,2024-02-17 20:15:00,roma,atlanta,stati uniti,5,1,tsc,,
voli investigati,vce,cmn,2024-01-14 07:00:00,venezia,casablanca,marocco,4,1,sdi,,alto
esito negativo,blq,ist,2024-01-01 09:25:00,bologna,istanbul,turchia,8,22,sdi,,
allarmi chiusi,fco,doh,2024-02-02 15:35:00,roma,doha,qatar,5,19,sdi,,
voli solo visualizzati,fco,jfk,2024-02-14 00:00:00,roma,new york,stati uniti,5,1,nsis,,
viaggiatori entrati,nap,ist,2024-02-24 08:00:00,napoli,istanbul,turchia,6,114,interpol,,
allarmi chiusi,tsf,rak,2024-02-25 15:10:00,treviso,marrakech,marocco,4,21,tsc,,
voli con allarmi,vce,ist,2024-02-24 08:10:00,venezia,istanbul,turchia,4,1,,,
viaggiatori entrati,fco,mle,2024-01-04 13:25:00,roma,male,maldive,5,282,,,
viaggiatori entrati,fco,alg,2024-02-05 18:00:00,roma,algeri,algeria,5,48,,,
voli con allarmi,fco,dfw,2024-01-02 18:20:00,roma,dallas-fort worth,stati uniti,5,1,manuale,,
viaggiatori investigati,fco,cai,2024-01-02 04:30:00,roma,cairo,egitto,5,0,interpol,,
voli solo visualizzati,nap,lgw,2024-02-13 07:10:00,napoli,londra,regno unito,6,1,interpol,,
voli solo visualizzati,vce,lgw,2024-01-28 07:15:00,venezia,londra,regno unito,4,1,manuale,,
allarmi rilevanti,aoi,tia,2024-02-01 00:00:00,ancona,tirana,albania,8,2,nsis,,
voli con allarmi,fco,ist,2024-01-24 09:15:00,roma,istanbul,turchia,5,1,sdi,,
viaggiatori investigati,fco,lhr,2024-01-26 11:55:00,roma,londra,regno unito,5,141,,,
viaggiatori entrati,fco,saw,2024-01-20 12:20:00,roma,istanbul,turchia,5,165,,,
voli solo visualizzati,tsf,tia,2024-01-13 06:50:00,treviso,tirana,albania,4,1,sdi,,
voli investigati,mxp,cai,2024-02-02 17:30:00,milano,cairo,egitto,2,1,,,
viaggiatori entrati,vrn,brs,2024-02-24 06:40:00,verona,bristol,regno unito,4,172,,,
voli disponibili,fco,lhr,2024-02-20 12:50:00,roma,londra,regno unito,5,1,interpol,,
voli con allarmi,fco,tun,2024-02-12 11:25:00,roma,tunis,tunisia,5,,,,
voli disponibili,mxp,ist,2024-02-18 08:40:00,milano,istanbul,turchia,2,1,,,
voli investigati,vce,stn,2024-02-27 08:45:00,venezia,londra,regno unito,4,1,,,
voli solo visualizzati,cta,ist,2024-02-08 17:55:00,catania,istanbul,turchia,7,1,,,
viaggiatori con allarmi,bgy,dxb,2024-02-18 18:00:00,bergamo,dubai,emirati arabi uniti,2,4,sdi,,
voli con allarmi,mxp,cai,2024-02-06 09:35:00,milano,cairo,egitto,2,1,manuale,,
allarmi chiusi,bgy,saw,2024-01-22 14:15:00,bergamo,istanbul,turchia,2,1,,,
viaggiatori con allarmi,mxp,spx,2024-01-06 21:50:00,milano,giza,egitto,2,28,manuale,,
voli disponibili,mxp,jed,2024-02-05 19:30:00,milano,jeddah,arabia saudita,2,1,nsis,,
voli con allarmi,mxp,prn,2024-02-20 21:10:00,milano,pristina,cossovo,2,1,nsis,,
allarmi generati,mxp,tia,2024-01-01 06:20:00,milano,tirana,albania,2,21,nsis,,
allarmi generati,mxp,tlv,2024-02-12 06:50:00,milano,tel aviv yafo,israele,2,2,manuale,,
voli disponibili,cia,tia,2024-02-03 19:25:00,roma,tirana,albania,5,,,,
voli con allarmi,nap,lgw,2024-02-25 14:25:00,napoli,londra,regno unito,6,1,sdi,,
voli investigati,blq,cmn,2024-02-10 06:50:00,bologna,casablanca,marocco,8,1,interpol,,
allarmi generati,mxp,ewr,2024-02-02 21:50:00,milano,newark,stati uniti,2,1,manuale,,
voli investigati,vrn,ssh,2024-01-08 00:40:00,verona,sharm el sheikh,egitto,4,1,tsc,,
voli investigati,blq,lhr,2024-01-14 19:25:00,bologna,londra,regno unito,8,1,nsis,,
allarmi generati,fco,jfk,2024-02-06 19:45:00,roma,new york,stati uniti,5,3,nsis,,
voli con allarmi,fco,lgw,2024-02-18 16:40:00,roma,londra,regno unito,5,1,nsis,,
voli investigati,psa,tia,2024-01-03 17:10:00,pisa,tirana,albania,8,1,nsis,,
viaggiatori entrati,blq,lhr,2024-02-26 16:05:00,bologna,londra,regno unito,8,206,manuale,,
