OCCORRENZE,AREOPORTO_ARRIVO,AREOPORTO_PARTENZA,DATA_PARTENZA,CITTA_ARR,CITTA_PARTENZA,PAESE_PART,ZONA,TOT,MOTIVO_ALLARME,note_operatore,flag_rischio
esito negativo,mxp,stn,2024-01-25 07:15:00,milano,londra,regno unito,2,4,interpol,,
viaggiatori entrati,fco,skp,2024-01-23 21:00:00,roma,skopie,macedonia,5,184,interpol,,
voli solo visualizzati,vce,lhr,2024-01-04 17:00:00,venezia,londra,regno unito,4,1,tsc,,
viaggiatori investigati,lin,lhr,2024-02-13 12:35:00,milano,londra,regno unito,2,161,,,
allarmi chiusi,vrn,stn,2024-02-10 00:00:00,verona,londra,regno unito,4,4,nsis,,
voli con allarmi,fco,can,2024-02-26 00:40:00,roma,guangzhou,cina,5,1,manuale,,
voli solo visualizzati,lin,anu,2024-01-05 09:37:00,milano,st. john's,antigua e barbuda,2,1,interpol,,
allarmi rilevanti,fco,saw,2024-01-10 11:20:00,roma,istanbul,turchia,5,1,interpol,,
allarmi generati,vce,cmn,2024-01-25 15:20:00,venezia,casablanca,marocco,4,46,sdi,,
viaggiatori con allarmi,fco,iad,2024-01-01 17:45:00,roma,washington,stati uniti,5,1,,,
voli con allarmi,fco,jfk,2024-01-31 21:00:00,roma,new york,stati uniti,5,1,interpol,,
voli investigati,cia,man,2024-02-22 11:35:00,roma,manchester,regno unito,5,1,nsis,,
voli con allarmi,mxp,ist,2024-02-08 20:30:00,milano,istanbul,turchia,2,1,interpol,,
allarmi generati,bgy,stn,2024-01-13 10:05:00,bergamo,londra,regno unito,2,1,interpol,,
voli solo visualizzati,vrn,bqh,2024-01-28 09:48:00,verona,londra,regno unito,4,1,sdi,,
allarmi generati,blq,tia,2024-02-10 11:30:00,bologna,tirana,albania,8,30,sdi,,
voli disponibili,psa,lhr,2024-01-01 08:00:00,pisa,londra,regno unito,8,1,sdi,,
voli solo visualizzati,cta,ist,2024-02-03 17:55:00,catania,istanbul,turchia,7,1,sdi,,
esito negativo,fco,tun,2024-01-05 19:05:00,roma,tunis,tunisia,5,15,manuale,,
voli investigati,fco,saw,2024-01-06 10:40:00,roma,istanbul,turchia,5,1,nsis,,
viaggiatori entrati,lin,lhr,2024-02-01 12:45:00,milano,londra,regno unito,2,113,tsc,,
voli solo visualizzati,fco,bey,2024-01-01 14:00:00,roma,beirut,libano,5,1,interpol,,
voli investigati,bgy,cmn,2024-01-11 07:00:00,bergamo,casablanca,marocco,2,1,tsc,,
voli con allarmi,nap,ist,2024-01-13 17:55:00,napoli,istanbul,turchia,6,1,tsc,,
voli disponibili,fco,add,2024-02-22 22:40:00,roma,addis ababa,etiopia,5,1,,,
voli solo visualizzati,mxp,stn,2024-02-23 13:40:00,milano,londra,regno unito,2,1,,,
voli solo visualizzati,fco,ewr,2024-01-17 17:40:00,roma,newark,stati uniti,5,1,,,
viaggiatori entrati,mxp,yul,2024-02-19 20:30:00,milano,montreal,canada,2,242,nsis,,
viaggiatori con allarmi,lin,lhr,2024-02-06 18:30:00,milano,londra,regno unito,2,7,nsis,,
allarmi generati,vce,stn,2024-01-04 07:55:00,venezia,londra,regno unito,4,6,,,
viaggiatori investigati,flr,lcy,2024-02-21 08:45:00,firenze,londra,regno unito,8,54,interpol,,
voli investigati,mxp,jfk,2024-01-01 20:45:00,milano,new york,stati uniti,2,1,sdi,,
esito negativo,blq,saw,2024-02-01 00:00:00,bologna,istanbul,turchia,8,3,,,
allarmi chiusi,mxp,lhr,2024-02-06 13:35:00,milano,londra,regno unito,2,1,,,
voli disponibili,fco,tlv,2024-02-22 18:00:00,roma,tel aviv yafo,israele,5,1,interpol,,
voli con allarmi,mxp,stn,2024-02-01 07:15:00,milano,londra,regno unito,2,1,manuale,,
voli con allarmi,mxp,tia,2024-01-30 12:55:00,milano,tirana,albania,2,1,,,
viaggiatori entrati,blq,tia,2024-02-04 20:45:00,bologna,tirana,albania,8,214,nsis,,
voli investigati,mxp,lgw,2024-01-15 19:45:00,milano,londra,regno unito,2,1,manuale,,
viaggiatori con allarmi,psa,lhr,2024-02-24 08:00:00,pisa,londra,regno unito,8,2,tsc,,
viaggiatori investigati,bgy,tia,2024-02-21 20:35:00,bergamo,tirana,albania,2,147,tsc,,
allarmi chiusi,bgy,tng,2024-02-05 20:50:00,bergamo,tangier,marocco,2,27,interpol,,
viaggiatori con allarmi,cta,tia,2024-02-23 21:05:00,catania,tirana,albania,7,6,manuale,passeggero noto,
viaggiatori investigati,blq,cmn,2024-02-22 19:10:00,bologna,casablanca,marocco,8,177,tsc,,
voli con allarmi,fco,lhr,2024-02-17 16:00:00,roma,londra,regno unito,5,1,,,
viaggiatori investigati,fco,lgw,2024-02-11 09:20:00,roma,londra,regno unito,5,178,sdi,,
voli solo visualizzati,blq,tun,2024-01-20 09:00:00,bologna,tunis,tunisia,8,1,manuale,,
esito negativo,mxp,jfk,2024-02-22 22:20:00,milano,new york,stati uniti,2,9,,alert manuale,
viaggiatori entrati,suf,stn,2024-01-15 08:35:00,lamezia terme,londra,regno unito,6,69,interpol,,
voli con allarmi,cta,tia,2024-02-23 18:20:00,catania,tirana,albania,7,2,sdi,,
voli solo visualizzati,fco,beg,2024-02-08 06:45:00,roma,belgrado,serbia,5,1,manuale,,
voli solo visualizzati,fco,eze,2024-02-02 22:40:00,roma,buenos aires,argentina,5,1,interpol,,
voli solo visualizzati,blq,cmn,2024-02-20 12:50:00,bologna,casablanca,marocco,8,0,,,
allarmi generati,mxp,lgw,2024-02-25 21:10:00,milano,londra,regno unito,2,7,,,
allarmi chiusi,fco,auh,2024-02-27 17:45:00,roma,abu dhabi,emirati arabi uniti,5,7,interpol,,
viaggiatori con allarmi,blq,tia,2024-01-08 18:00:00,bologna,tirana,albania,8,21,,,
allarmi chiusi,mxp,tia,2024-02-29 12:50:00,milano,tirana,albania,2,14,tsc,,
viaggiatori con allarmi,mxp,dss,2024-01-01 00:00:00,milano,dakar,senegal,2,33,tsc,,
viaggiatori entrati,fco,man,2024-01-07 14:30:00,roma,manchester,regno unito,5,110,nsis,,
voli disponibili,vrn,rmf,2024-02-24 13:15:00,verona,marsa alam,egitto,4,1,tsc,,
voli con allarmi,fco,del,2024-02-15 03:45:00,roma,nuova delhi,india,5,1,nsis,,
voli investigati,vce,cmn,2024-01-16 12:55:00,venezia,casablanca,marocco,4,,tsc,,
viaggiatori con allarmi,fco,tlv,2024-01-05 06:10:00,roma,tel aviv yafo,israele,5,2,sdi,,
voli disponibili,fco,spx,2024-02-28 11:05:00,roma,giza,egitto,5,1,nsis,,
voli con allarmi,mxp,lgw,2024-02-24 00:00:00,milano,londra,regno unito,2,1,manuale,,
voli investigati,psr,tia,2024-01-27 11:15:00,pescara,tirana,albania,9,1,nsis,,
allarmi generati,fco,beg,2024-01-08 06:10:00,roma,belgrado,serbia,5,2,interpol,,
viaggiatori investigati,mxp,evn,2024-01-13 22:50:00,milano,yerevan,armenia,2,228,interpol,,
voli investigati,vce,evn,2024-02-16 20:45:00,venezia,yerevan,armenia,4,,sdi,,
allarmi generati,cag,stn,2024-01-24 19:50:00,cagliari,londra,regno unito,5,6,interpol,,
viaggiatori con allarmi,bgy,ncl,2024-02-06 18:05:00,bergamo,newcastle,regno unito,2,3,tsc,,
allarmi generati,cta,stn,2024-02-01 00:00:00,catania,londra,regno unito,7,1,tsc,,
voli solo visualizzati,mxp,ist,2024-01-20 12:35:00,milano,istanbul,turchia,2,1,sdi,,
viaggiatori entrati,lin,lcy,2024-01-29 12:35:00,milano,londra,regno unito,2,24,interpol,,
allarmi generati,mxp,tlv,2024-02-19 15:45:00,milano,tel aviv yafo,israele,2,3,,,
viaggiatori con allarmi,bgy,brs,2024-02-29 16:55:00,bergamo,bristol,regno unito,2,3,tsc,,
voli investigati,bgy,stn,2024-02-21 07:15:00,bergamo,londra,regno unito,2,1,interpol,,
voli disponibili,fco,tun,2024-01-03 19:05:00,roma,tunis,tunisia,5,1,,,
viaggiatori entrati,vce,lhr,2024-01-05 13:40:00,venezia,londra,regno unito,4,142,nsis,,
voli solo visualizzati,psa,tia,2024-02-01 00:00:00,pisa,tirana,albania,8,1,interpol,,
voli con allarmi,mxp,tia,2024-01-16 06:20:00,milano,tirana,albania,2,1,nsis,,
voli disponibili,cia,stn,2024-01-29 08:05:00,roma,londra,regno unito,5,1,,,
voli disponibili,nap,lgw,2024-01-22 18:40:00,napoli,londra,regno unito,6,1,interpol,,
voli investigati,blq,tia,2024-02-19 11:15:00,bologna,tirana,albania,8,1,tsc,,
viaggiatori entrati,blq,rmo,2024-02-12 20:00:00,bologna,chisinau,moldavia,8,112,interpol,,
voli solo visualizzati,mxp,tun,2024-01-27 07:45:00,milano,tunis,tunisia,2,1,,,
voli investigati,vrn,stn,2024-02-01 00:00:00,verona,londra,regno unito,4,1,,,
allarmi chiusi,cta,stn,2024-02-28 14:35:00,catania,londra,regno unito,7,8,,,
viaggiatori investigati,cia,stn,2024-02-13 09:00:00,roma,londra,regno unito,5,187,,,
voli investigati,fco,cai,2024-01-15 10:00:00,roma,cairo,egitto,5,1,manuale,,
voli disponibili,mxp,kut,2024-02-25 06:40:00,milano,kutaisi,georgia,2,1,manuale,,
voli con allarmi,blq,tia,2024-02-15 07:10:00,bologna,tirana,albania,8,1,tsc,,
voli investigati,psa,tia,2024-01-20 06:50:00,pisa,tirana,albania,8,1,tsc,alert manuale,
voli investigati,fco,lgw,2024-02-16 09:29:00,roma,londra,regno unito,5,1,interpol,,
viaggiatori investigati,fco,del,2024-02-18 03:45:00,roma,nuova delhi,india,5,288,,,
viaggiatori investigati,mxp,wnz,2024-02-20 12:40:00,milano,wenzhou,cina,2,229,,,
allarmi generati,fco,amm,2024-01-20 11:55:00,roma,amman,giordania,5,1,tsc,,
voli con allarmi,cia,stn,2024-01-31 18:00:00,roma,londra,regno unito,5,1,nsis,,
voli disponibili,cta,tia,2024-01-11 11:50:00,catania,tirana,albania,7,1,interpol,,
allarmi generati,cta,stn,2024-01-06 16:30:00,catania,londra,regno unito,7,6,interpol,,
voli disponibili,vce,stn,2024-01-25 18:35:00,venezia,londra,regno unito,4,1,interpol,,
allarmi rilevanti,blq,tia,2024-02-24 18:10:00,bologna,tirana,albania,8,,,,
voli con allarmi,lin,lhr,2024-02-01 18:40:00,milano,londra,regno unito,2,1,tsc,,
allarmi chiusi,mxp,tpe,2024-02-12 23:05:00,milano,taipei,taiwan,2,11,tsc,,
viaggiatori investigati,mxp,mbj,2024-01-05 22:10:00,milano,montego bay,giamaica,2,0,nsis,,
viaggiatori entrati,mxp,lgw,2024-01-12 07:05:00,milano,londra,regno unito,2,154,sdi,,
voli solo visualizzati,bri,stn,2024-02-25 09:55:00,bari,londra,regno unito,9,1,sdi,,
viaggiatori entrati,fco,tun,2024-01-11 19:05:00,roma,tunis,tunisia,5,117,nsis,,
voli solo visualizzati,vce,stn,2024-02-17 20:15:00,venezia,londra,regno unito,4,1,tsc,,
voli solo visualizzati,fco,doh,2024-01-04 02:30:00,roma,doha,qatar,5,1,interpol,,
allarmi generati,bgy,stn,2024-01-25 06:00:00,bergamo,londra,regno unito,2,3,,,
voli solo visualizzati,fco,add,2024-02-15 22:50:00,roma,addis ababa,etiopia,5,1,manuale,,
allarmi generati,vce,bhx,2024-02-09 13:40:00,venezia,birmingham,regno unito,4,6,interpol,,
voli solo visualizzati,bri,ssh,2024-02-04 16:05:00,bari,sharm el sheikh,egitto,9,1,,,
viaggiatori investigati,mxp,tia,2024-01-06 08:25:00,milano,tirana,albania,2,169,,,
voli con allarmi,fco,lhr,2024-01-17 18:20:00,roma,londra,regno unito,5,1,tsc,,
voli con allarmi,bgy,stn,2024-01-11 06:00:00,bergamo,londra,regno unito,2,1,sdi,,
voli disponibili,bgy,stn,2024-02-12 11:45:00,bergamo,londra,regno unito,2,,interpol,,
voli investigati,fco,lgw,2024-02-14 16:40:00,roma,londra,regno unito,5,1,nsis,,
allarmi rilevanti,blq,ist,2024-01-29 17:35:00,bologna,istanbul,turchia,8,1,nsis,,
viaggiatori investigati,cia,stn,2024-01-31 08:05:00,roma,londra,regno unito,5,188,,,
allarmi generati,bgy,rmo,2024-01-26 13:20:00,bergamo,chisinau,moldavia,2,7,interpol,,
voli solo visualizzati,vce,ist,2024-02-29 18:00:00,venezia,istanbul,turchia,4,1,,,
viaggiatori investigati,mxp,adb,2024-01-04 11:45:00,milano,smirne,turchia,2,171,,,
allarmi generati,mxp,gyd,2024-01-25 07:30:00,milano,baku,azerbaigian,2,1,manuale,,
voli disponibili,fco,brs,2024-01-03 13:40:00,roma,bristol,regno unito,5,1,,,
voli solo visualizzati,mxp,tia,2024-01-31 20:55:00,milano,tirana,albania,2,1,tsc,,
voli solo visualizzati,mxp,ewr,2024-02-25 21:50:00,milano,newark,stati uniti,2,1,tsc,,
voli con allarmi,fco,tia,2024-02-20 07:50:00,roma,tirana,albania,5,1,nsis,,
viaggiatori con allarmi,peg,stn,2024-02-18 11:45:00,perugia,londra,regno unito,5,8,tsc,alert manuale,
voli solo visualizzati,blq,ltn,2024-01-22 17:10:00,bologna,londra,regno unito,8,1,sdi,,
voli investigati,lin,lhr,2024-02-10 15:00:00,milano,londra,regno unito,2,1,manuale,,
voli investigati,mxp,cgo,2024-01-08 14:50:00,milano,zhengzhou,cina,2,1,,,
allarmi chiusi,fco,lhr,2024-02-01 08:55:00,roma,londra,regno unito,5,3,,,
viaggiatori entrati,bgy,tia,2024-01-18 06:10:00,bergamo,tirana,albania,2,102,,,
voli solo visualizzati,vce,lhr,2024-02-19 13:40:00,venezia,londra,regno unito,4,1,nsis,,
viaggiatori investigati,bri,tia,2024-02-15 11:35:00,bari,tirana,albania,9,196,sdi,,
allarmi chiusi,bgy,stn,2024-01-27 12:00:00,bergamo,londra,regno unito,2,3,manuale,,
voli disponibili,blq,lhr,2024-01-22 08:50:00,bologna,londra,regno unito,8,1,sdi,,
voli con allarmi,bgy,beg,2024-01-22 06:10:00,bergamo,belgrado,serbia,2,1,,,
viaggiatori entrati,fco,phl,2024-02-23 18:50:00,roma,filadelfia,stati uniti,5,205,sdi,,
voli solo visualizzati,fco,lhr,2024-01-28 08:45:00,roma,londra,regno unito,5,1,interpol,,
viaggiatori entrati,fco,tpe,2024-01-28 23:25:00,roma,taipei,taiwan,5,238,tsc,,
esito negativo,vce,stn,2024-01-15 07:20:00,venezia,londra,regno unito,4,3,interpol,,
viaggiatori investigati,blq,saw,2024-01-23 11:10:00,bologna,istanbul,turchia,8,233,interpol,,
voli con allarmi,psa,stn,2024-02-25 17:50:00,pisa,londra,regno unito,8,1,nsis,,
voli solo visualizzati,mxp,ltn,2024-02-06 15:12:00,milano,londra,regno unito,2,1,tsc,,
viaggiatori con allarmi,nap,rak,2024-02-05 05:45:00,napoli,marrakech,marocco,6,16,,,
voli con allarmi,blq,tia,2024-02-29 07:10:00,bologna,tirana,albania,8,1,tsc,,
voli solo visualizzati,bgy,stn,2024-01-06 10:05:00,bergamo,londra,regno unito,2,1,manuale,,
voli disponibili,nap,rak,2024-02-22 18:05:00,napoli,marrakech,marocco,6,1,sdi,,
allarmi generati,vce,lhr,2024-01-28 16:10:00,venezia,londra,regno unito,4,1,nsis,,
voli investigati,blq,tia,2024-01-18 20:45:00,bologna,tirana,albania,8,1,,,
viaggiatori con allarmi,fco,pek,2024-01-19 13:25:00,roma,pechino,cina,5,25,,,
voli con allarmi,nap,lhr,2024-01-05 15:05:00,napoli,londra,regno unito,6,1,manuale,,
voli disponibili,bgy,stn,2024-02-17 21:40:00,bergamo,londra,regno unito,2,1,manuale,,
viaggiatori investigati,vrn,lgw,2024-01-13 08:10:00,verona,londra,regno unito,4,185,,,
voli con allarmi,fco,lhr,2024-02-03 12:55:00,roma,londra,regno unito,5,1,interpol,,
voli solo visualizzati,blq,ssh,2024-02-18 09:50:00,bologna,sharm el sheikh,egitto,8,1,nsis,,
allarmi chiusi,fco,jfk,2024-01-02 19:35:00,roma,new york,stati uniti,5,12,,,
voli solo visualizzati,mxp,jed,2024-01-11 20:05:00,milano,jeddah,arabia saudita,2,1,sdi,,
viaggiatori entrati,vce,rmo,2024-01-30 13:20:00,venezia,chisinau,moldavia,4,141,,,
voli investigati,cia,stn,2024-02-12 08:05:00,roma,londra,regno unito,5,1,nsis,,
allarmi rilevanti,blq,ist,2024-01-25 09:25:00,bologna,istanbul,turchia,8,1,interpol,,
viaggiatori con allarmi,blq,ltn,2024-01-07 17:15:00,bologna,londra,regno unito,8,15,sdi,,
voli con allarmi,cta,stn,2024-02-05 06:35:00,catania,londra,regno unito,7,1,,,
allarmi generati,nap,tun,2024-01-19 09:30:00,napoli,tunis,tunisia,6,15,manuale,,
voli disponibili,lin,lhr,2024-01-24 18:30:00,milano,londra,regno unito,2,1,interpol,,
allarmi generati,mxp,kut,2024-02-29 16:25:00,milano,kutaisi,georgia,2,10,tsc,,
voli con allarmi,fco,jed,2024-01-14 10:20:00,roma,jeddah,arabia saudita,5,1,interpol,,
voli solo visualizzati,fco,kiv,2024-01-17 17:20:00,roma,chisinau,moldavia,5,1,,,
voli con allarmi,bri,tia,2024-02-01 00:00:00,bari,tirana,albania,9,1,nsis,,
voli solo visualizzati,fco,mia,2024-02-21 19:50:00,roma,miami,stati uniti,5,1,,,
voli disponibili,trn,man,2024-02-25 00:00:00,torino,manchester,regno unito,1,1,tsc,,
allarmi generati,nap,ist,2024-02-11 17:55:00,napoli,istanbul,turchia,6,25,,,
voli con allarmi,vce,lhr,2024-02-27 17:10:00,venezia,londra,regno unito,4,1,interpol,,
voli investigati,mxp,tia,2024-02-12 12:50:00,milano,tirana,albania,2,1,,,
viaggiatori con allarmi,mxp,lgw,2024-02-13 09:00:00,milano,londra,regno unito,2,7,manuale,,
allarmi generati,mxp,sin,2024-02-02 23:45:00,milano,singapore,singapore,2,7,sdi,,
allarmi generati,trn,stn,2024-01-07 18:50:00,torino,londra,regno unito,1,7,manuale,,
viaggiatori investigati,flr,lgw,2024-01-18 16:11:00,firenze,londra,regno unito,8,137,,,medio
allarmi chiusi,mxp,lgw,2024-02-08 17:35:00,milano,londra,regno unito,2,3,interpol,,
allarmi chiusi,nap,ltn,2024-01-08 15:45:00,napoli,londra,regno unito,6,8,nsis,,
allarmi chiusi,nap,tun,2024-01-22 14:00:00,napoli,tunis,tunisia,6,17,sdi,,
viaggiatori investigati,bgy,stn,2024-01-28 06:10:00,bergamo,londra,regno unito,2,159,interpol,,
voli investigati,vrn,bhx,2024-02-03 06:00:00,verona,birmingham,regno unito,4,1,,,
allarmi generati,psa,tia,2024-02-19 21:50:00,pisa,tirana,albania,8,29,tsc,,
viaggiatori investigati,psa,stn,2024-01-23 11:55:00,pisa,londra,regno unito,8,158,tsc,,
voli con allarmi,bgy,stn,2024-02-10 05:45:00,bergamo,londra,regno unito,2,1,interpol,,
viaggiatori con allarmi,cta,dxb,2024-02-23 07:35:00,catania,dubai,emirati arabi uniti,7,20,,,
voli disponibili,fco,dxb,2024-01-23 08:55:00,roma,dubai,emirati arabi uniti,5,1,nsis,,
voli solo visualizzati,bgy,stn,2024-02-02 11:30:00,bergamo,londra,regno unito,2,1,manuale,,
voli investigati,blq,lhr,2024-02-15 19:40:00,bologna,londra,regno unito,8,,sdi,,
voli investigati,lin,lcy,2024-01-15 15:07:00,milano,londra,regno unito,2,1,,,
voli solo visualizzati,fco,eze,2024-02-27 22:40:00,roma,buenos aires,argentina,5,1,,,
allarmi generati,mxp,dwc,2024-02-11 02:30:00,milano,dubai,emirati arabi uniti,2,15,interpol,,alto
allarmi generati,lin,lhr,2024-01-06 18:35:00,milano,londra,regno unito,2,3,,,
allarmi chiusi,fco,cai,2024-02-13 17:55:00,roma,cairo,egitto,5,7,,,
viaggiatori con allarmi,vce,ist,2024-01-18 18:00:00,venezia,istanbul,turchia,4,10,manuale,,
allarmi rilevanti,mxp,mct,2024-01-12 14:15:00,milano,muscat,oman,2,1,sdi,,
viaggiatori entrati,nap,ssh,2024-02-04 15:45:00,napoli,sharm el sheikh,egitto,6,174,,,
voli disponibili,lin,lcy,2024-02-18 12:40:00,milano,londra,regno unito,2,1,,,
allarmi generati,vce,stn,2024-01-05 00:00:00,venezia,londra,regno unito,4,7,nsis,,
voli disponibili,nap,dxb,2024-02-26 07:30:00,napoli,dubai,emirati arabi uniti,6,1,,,
allarmi generati,mxp,lgw,2024-01-05 00:00:00,milano,londra,regno unito,2,11,nsis,,
voli investigati,psr,tia,2024-01-14 11:15:00,pescara,tirana,albania,9,1,,,alto
voli con allarmi,fco,eze,2024-01-06 00:00:00,roma,buenos aires,argentina,5,1,,,
allarmi generati,psa,lhr,2024-01-29 08:00:00,pisa,londra,regno unito,8,5,,,
allarmi chiusi,blq,ist,2024-01-16 09:25:00,bologna,istanbul,turchia,8,10,nsis,,
allarmi chiusi,mxp,atq,2024-02-01 02:30:00,milano,amritsar,india,2,10,,,
allarmi rilevanti,blq,cmn,2024-02-25 20:25:00,bologna,casablanca,marocco,8,,nsis,,
voli con allarmi,mxp,ist,2024-01-05 12:35:00,milano,istanbul,turchia,2,1,nsis,,
esito negativo,fco,cai,2024-01-19 17:55:00,roma,cairo,egitto,5,8,interpol,,
allarmi generati,cta,ist,2024-02-09 07:55:00,catania,istanbul,turchia,7,6,nsis,,
viaggiatori entrati,blq,tia,2024-02-20 18:10:00,bologna,tirana,albania,8,128,nsis,,
viaggiatori investigati,fco,lhr,2024-01-25 12:40:00,roma,londra,regno unito,5,126,manuale,,
allarmi chiusi,mxp,doh,2024-02-10 15:30:00,milano,doha,qatar,2,14,,,
voli solo visualizzati,fco,saw,2024-02-21 11:20:00,roma,istanbul,turchia,5,1,sdi,,
voli investigati,cta,tia,2024-02-16 13:10:00,catania,tirana,albania,7,1,,,
voli con allarmi,fco,cmn,2024-02-22 13:00:00,roma,casablanca,marocco,5,1,,,
viaggiatori entrati,mxp,cai,2024-02-20 13:30:00,milano,cairo,egitto,2,68,sdi,,
allarmi generati,lin,lhr,2024-01-20 10:20:00,milano,londra,regno unito,2,2,interpol,,
viaggiatori entrati,trn,tia,2024-01-14 06:55:00,torino,tirana,albania,1,178,tsc,,
voli solo visualizzati,cia,man,2024-01-20 15:15:00,roma,manchester,regno unito,5,1,nsis,,
voli con allarmi,mxp,wnz,2024-02-01 12:40:00,milano,wenzhou,cina,2,1,,,
esito negativo,bgy,stn,2024-01-11 17:50:00,bergamo,londra,regno unito,2,1,,,
viaggiatori investigati,blq,tia,2024-01-03 11:30:00,bologna,tirana,albania,8,173,manuale,,
voli con allarmi,trn,lgw,2024-01-01 08:10:00,torino,londra,regno unito,1,1,,,
voli solo visualizzati,vce,lgw,2024-02-12 09:30:00,venezia,londra,regno unito,4,1,sdi,,
voli solo visualizzati,bgy,lgw,2024-02-17 06:45:00,bergamo,londra,regno unito,2,1,sdi,,
esito negativo,rmi,tia,2024-01-23 10:30:00,rimini,tirana,albania,8,24,tsc,,
esito negativo,bgy,tia,2024-01-31 12:25:00,bergamo,tirana,albania,2,6,nsis,,
voli solo visualizzati,lin,lcy,2024-02-02 19:05:00,milano,londra,regno unito,2,1,,,
viaggiatori investigati,mxp,hkg,2024-02-10 00:50:00,milano,hong kong,hong kong,2,,manuale,,
allarmi generati,fco,saw,2024-02-16 12:15:00,roma,istanbul,turchia,5,4,sdi,,
voli con allarmi,fco,szx,2024-01-14 01:30:00,roma,shenzhen,cina,5,1,interpol,,
,mxp,doh,2024-01-22 15:30:00,milano,doha,qatar,2,212,,verifica richiesta,
viaggiatori investigati,vce,lgw,2024-01-22 09:00:00,venezia,londra,regno unito,4,68,,,
viaggiatori investigati,bgy,saw,2024-01-05 13:35:00,bergamo,istanbul,turchia,2,217,interpol,alert manuale,
voli con allarmi,blq,lhr,2024-01-05 15:25:00,bologna,londra,regno unito,8,1,,,
allarmi generati,fco,gru,2024-01-27 15:45:00,roma,san paolo,brasile,5,4,,,
allarmi generati,bgy,dxb,2024-01-07 18:00:00,bergamo,dubai,emirati arabi uniti,2,2,nsis,,
viaggiatori con allarmi,trn,stn,2024-01-31 09:25:00,torino,londra,regno unito,1,8,interpol,,
viaggiatori investigati,cta,ltn,2024-01-28 07:00:00,catania,londra,regno unito,7,108,tsc,,
viaggiatori investigati,fco,tlv,2024-02-26 06:00:00,roma,tel aviv yafo,israele,5,161,,,
viaggiatori entrati,cia,ltn,2024-01-25 16:00:00,roma,londra,regno unito,5,1,,,
voli investigati,vrn,stn,2024-01-11 10:35:00,verona,londra,regno unito,4,1,sdi,,
voli disponibili,nap,lhr,2024-02-23 15:05:00,napoli,londra,regno unito,6,1,,,
voli con allarmi,fco,rak,2024-01-13 10:20:00,roma,marrakech,marocco,5,1,nsis,,
viaggiatori con allarmi,rmi,tia,2024-01-09 00:00:00,rimini,tirana,albania,8,27,nsis,,
allarmi generati,fco,ewr,2024-01-15 17:40:00,roma,newark,stati uniti,5,8,interpol,,
viaggiatori con allarmi,fco,atl,2024-02-16 20:15:00,roma,atlanta,stati uniti,5,6,,,
allarmi chiusi,mxp,pvg,2024-02-24 01:45:00,milano,shanghai,cina,2,8,,,
voli disponibili,vrn,sid,2024-01-04 16:20:00,verona,sal,capo verde,4,1,tsc,passeggero noto,
allarmi generati,mxp,kwi,2024-01-28 08:25:00,milano,kuwait city,kuwait,2,9,nsis,,
voli disponibili,lin,lhr,2024-01-30 10:15:00,milano,londra,regno unito,2,1,tsc,,
esito negativo,mxp,doh,2024-02-12 15:30:00,milano,doha,qatar,2,12,sdi,,
viaggiatori con allarmi,vce,lhr,2024-02-07 17:00:00,venezia,londra,regno unito,4,4,,,
voli solo visualizzati,mxp,amm,2024-01-05 10:45:00,milano,amman,giordania,2,1,interpol,,
voli con allarmi,fco,jfk,2024-02-08 19:45:00,roma,new york,stati uniti,5,1,,,
viaggiatori entrati,nap,lgw,2024-01-28 14:20:00,napoli,londra,regno unito,6,168,nsis,,
allarmi generati,mxp,adb,2024-01-08 11:45:00,milano,smirne,turchia,2,5,,,
voli investigati,mxp,cai,2024-02-27 09:35:00,milano,cairo,egitto,2,1,nsis,,
voli solo visualizzati,cta,dxb,2024-02-18 07:35:00,catania,dubai,emirati arabi uniti,7,1,,,
esito negativo,tsf,tia,2024-02-29 15:30:00,treviso,tirana,albania,4,27,tsc,,
voli investigati,mxp,beg,2024-01-03 07:00:00,milano,belgrado,serbia,2,1,interpol,,
viaggiatori entrati,blq,tia,2024-01-01 11:15:00,bologna,tirana,albania,8,178,manuale,,
allarmi generati,bgy,rak,2024-02-21 06:10:00,bergamo,marrakech,marocco,2,19,interpol,,
viaggiatori con allarmi,trn,stn,2024-02-08 06:30:00,torino,londra,regno unito,1,1,manuale,,
viaggiatori entrati,bgy,lgw,2024-02-23 13:00:00,bergamo,londra,regno unito,2,94,manuale,,
voli disponibili,fco,beg,2024-01-28 18:05:00,roma,belgrado,serbia,5,1,nsis,,
voli investigati,vce,lhr,2024-01-24 13:40:00,venezia,londra,regno unito,4,1,interpol,,
esito negativo,bri,stn,2024-01-01 00:00:00,bari,londra,regno unito,9,11,manuale,,
viaggiatori entrati,vrn,lgw,2024-02-11 10:10:00,verona,londra,regno unito,4,194,sdi,,
viaggiatori entrati,fco,beg,2024-01-03 18:05:00,roma,belgrado,serbia,5,121,interpol,,
voli disponibili,fco,lgw,2024-02-16 09:40:00,roma,londra,regno unito,5,1,tsc,,
voli investigati,lin,lcy,2024-02-07 08:30:00,milano,londra,regno unito,2,1,,,
allarmi generati,mxp,jfk,2024-02-25 18:15:00,milano,new york,stati uniti,2,2,tsc,,
viaggiatori entrati,blq,lhr,2024-02-23 19:35:00,bologna,londra,regno unito,8,95,tsc,,
allarmi generati,fco,lhr,2024-01-06 06:55:00,roma,londra,regno unito,5,2,interpol,,
