occorrenze,areoporto_arrivo,areoporto_partenza,anno_partenza,mese_partenza,data_partenza,descr_aereoporto_arr,descr_aereoporto_part,citta_arr,citta_partenza,codice_paese_arr,codice_paese_part,paese_arr,paese_part,zona,tot,motivo_allarme,note_operatore,flag_rischio,paese_partenza,codice_paese_arr__1,col_3zona,paese_arr__1,tot_voli
viaggiatori entrati nel sistema,fco,ist,,1,2024-01-21 13:05:00,fiumicino,havalimani,roma,istanbul,ita,tur,italia,turchia,5,134.0,nsis,,,turchia,ita,5,italia,134.0
allarmi rilevanti,blq,tia,2024,2,,guglielmo marconi,rinas mother teresa,bologna,tirana,ita,alb,italia,albania,8,1.0,manuale,,medio,albania,ita,8,italia,1.0
voli con allarmi,fco,tun,2024,2,2024-02-14 11:25:00,fiumicino,carthage,roma,,ita,tun,italia,tunisia,5,1.0,tsc,,,tunisia,ita,5,italia,1.0
voli con allarmi,bgy,tia,2024,1,2024-01-04 21:55:00,orio al serio,rinas mother teresa,bergamo,tirana,ita,alb,italia,albania,2,1.0,manuale,,,albania,ita,2,italia,1.0
viaggiatori entrati nel sistema,vce,lhr,2024,2,2024-02-13 13:40:00,venezia marco polo,london heathrow,venezia,londra,ita,gbr,italia,regno unito,4,163.0,interpol,,,regno unito,ita,4,italia,163.0
viaggiatori investigati,fco,auh,2023,2,2024-02-12 17:45:00,fiumicino,,roma,abu dhabi,ita,are,italia,emirati arabi uniti,5,172.0,,,,emirati arabi uniti,ita,5,italia,172.0
nulla a procedere sdi,fco,szx,2024,2,,fiumicino,shenzhen,roma,shenzhen,ita,chn,italia,cina,5,5.0,manuale,,,cina,ita,5,italia,5.0
allarmi generati da sdi/nsis,bgy,stn,2024,2,2024-02-29 06:00:00,orio al serio,stansted,bergamo,londra,ita,gbr,italia,regno unito,2,4.0,tsc,,,regno unito,ita,2,italia,4.0
viaggiatori investigati,cia,stn,2023,1,,ciampino,stansted,roma,londra,ita,gbr,italia,regno unito,5,167.0,nsis,,,regno unito,ita,5,italia,167.0
allarmi rilevanti,psa,rak,2024,2,,galileo galilei,menara,pisa,marrakech,ita,mar,italia,marocco,8,2.0,nsis,,,marocco,ita,8,italia,2.0
allarmi generati da sdi/nsis,goa,stn,2024,2,2024-02-02 18:05:00,cristoforo colombo,stansted,genova,londra,ita,gbr,italia,regno unito,1,5.0,,,,regno unito,ita,1,italia,5.0
allarmi generati da sdi/nsis,trn,tia,2024,1,2024-01-02 06:55:00,sandro pertini,rinas mother teresa,torino,tirana,ita,alb,italia,albania,1,34.0,nsis,,,albania,ita,1,italia,34.0
voli con allarmi,mxp,lhr,2024,1,2024-01-13 07:35:00,malpensa,london heathrow,milano,londra,fra,gbr,italia,regno unito,2,1.0,manuale,,,regno unito,ita,2,italia,1.0
viaggiatori con allarmi,fco,tlv,2024,2,2024-02-05 06:10:00,fiumicino,ben gurion international,roma,tel aviv yafo,ita,isr,italia,israele,5,1.0,tsc,,,israele,ita,5,italia,1.0
voli con allarmi,fco,pvg,2024,1,,fiumicino,pu dong,roma,shanghai,ita,chn,italia,cina,5,1.0,sdi,,,cina,ita,5,italia,1.0
viaggiatori investigati,fco,eze,2024,1,2024-01-28 22:40:00,fiumicino,ezeiza ministro pistarini,roma,buenos aires,ita,arg,italia,argentina,5,213.0,interpol,,,argentina,ita,5,italia,213.0
voli disponibili in ingresso al sistema,fco,alg,2024,1,2024-01-01 05:25:00,fiumicino,houari boumediene,roma,algeri,ita,dza,italia,algeria,5,1.0,sdi,,,algeria,ita,5,italia,1.0
"voli solo visualizzati, ma non investigati",bgy,stn,2024,1,2024-01-17 11:55:00,orio al serio,stansted,bergamo,londra,ita,gbr,italia,regno unito,2,1.0,manuale,,,regno unito,ita,2,italia,1.0
allarmi generati da sdi/nsis,fco,pvg,2024,1,2024-01-30 12:35:00,fiumicino,pu dong,roma,shanghai,ita,chn,italia,cina,5,12.0,interpol,,,cina,ita,5,italia,12.0
viaggiatori investigati,cia,stn,2024,2,,ciampino,stansted,roma,londra,ita,gbr,italia,regno unito,5,182.0,tsc,,,regno unito,ita,5,italia,182.0
viaggiatori entrati nel sistema,trn,stn,2024,2,2024-02-25 18:50:00,sandro pertini,stansted,torino,londra,ita,gbr,italia,regno unito,1,169.0,,,,regno unito,ita,1,italia,169.0
viaggiatori entrati nel sistema,mxp,auh,2024,2,,malpensa,abu dhabi international,milano,?,ita,are,italia,emirati arabi uniti,2,284.0,tsc,,,emirati arabi uniti,ita,2,italia,284.0
viaggiatori con allarmi,fco,tpe,2024,2,2024-02-15 23:25:00,fiumicino,taiwan taoyuan international,roma,taipei,ita,twn,italia,,5,5.0,interpol,,,taiwan,ita,5,italia,5.0
viaggiatori con allarmi,cia,edi,,1,2024-01-26 06:15:00,ciampino,edinburgh,roma,edinburgh,ita,gbr,italia,regno unito,5,4.0,,,,regno unito,ita,5,italia,4.0
voli investigati (sdi/nsis - interpol - tsc),bgy,tia,2024,2,2024-02-07 20:35:00,orio al serio,rinas mother teresa,bergamo,tirana,ita,alb,italia,albania,2,1.0,sdi,,,albania,ita,2,italia,1.0
allarmi generati da sdi/nsis,bgy,stn,2024,2,,orio al serio,stansted,bergamo,londra,ita,gbr,italia,regno unito,2,5.0,,,,regno unito,ita,2,italia,5.0
voli disponibili in ingresso al sistema,mxp,mct,2024,1,2024-01-18 14:15:00,malpensa,,milano,muscat,ita,,italia,oman,2,1.0,tsc,,,oman,ita,2,italia,1.0
voli investigati (sdi/nsis - interpol - tsc),bri,stn,2024,1,2024-01-18 19:55:00,palese,stansted,bari,londra,ita,gbr,italia,regno unito,9,1.0,sdi,,,regno unito,ita,9,italia,1.0
voli con allarmi,nap,tun,2024,1,2024-01-05 09:45:00,napoli capodichino,carthage,napoli,tunis,ita,tun,italia,tunisia,6,1.0,tsc,,,tunisia,ita,6,italia,1.0
allarmi chiusi,mxp,spx,2024,2,2024-02-02 12:05:00,malpensa,sphinx international,milano,giza,ita,egy,italia,egitto,2,40.0,nsis,,,egitto,ita,2,italia,40.0
allarmi chiusi con azione (cc.xx),mxp,mct,,2,,malpensa,seeb,milano,muscat,tur,omn,italia,,2,1.0,,,,oman,ita,2,italia,1.0
voli con allarmi,vrn,tia,2024,1,2024-01-03 17:00:00,verona villafranca,rinas mother teresa,verona,tirana,ita,,italia,albania,4,1.0,nsis,,,albania,ita,4,italia,1.0
voli disponibili in ingresso al sistema,trn,stn,2024,2,2024-02-25 18:50:00,sandro pertini,stansted,torino,londra,ita,gbr,italia,regno unito,1,1.0,,,,regno unito,ita,1,italia,1.0
viaggiatori entrati nel sistema,bgy,saw,2024,2,2024-02-10 17:25:00,orio al serio,,bergamo,istanbul,ita,tur,italia,,2,49.0,nsis,,,turchia,ita,2,italia,49.0
voli disponibili in ingresso al sistema,bgy,rak,2024,1,2024-01-27 15:35:00,orio al serio,menara,bergamo,marrakech,ita,ma,italia,marocco,2,1.0,nsis,,,marocco,ita,2,italia,1.0
"voli solo visualizzati, ma non investigati",fco,alg,2024,1,2024-01-07 05:25:00,fiumicino,houari boumediene,roma,algeri,ita,dza,italia,algeria,5,1.0,nsis,,,algeria,ita,5,italia,1.0
voli investigati (sdi/nsis - interpol - tsc),cta,tia,2024,2,2024-02-15 11:50:00,fontanarossa,rinas mother teresa,catania,tirana,ita,alb,italia,albania,7,,sdi,,,albania,ita,7,italia,1.0
allarmi generati da sdi/nsis,bgy,stn,2024,,2024-01-13 12:00:00,orio al serio,stansted,bergamo,londra,ita,gbr,italia,regno unito,2,3.0,nsis,,,regno unito,ita,2,italia,3.0
voli investigati (sdi/nsis - interpol - tsc),blq,ist,2024,1,2024-01-11 09:25:00,guglielmo marconi,havalimani,bologna,istanbul,ita,tur,italia,turchia,8,1.0,,,,turchia,ita,8,italia,1.0
voli con allarmi,bgy,stn,2024,1,2024-01-12 07:15:00,orio al serio,stansted,bergamo,londra,ita,gbr,italia,regno unito,2,1.0,interpol,,,regno unito,ita,2,italia,1.0
allarmi chiusi,mxp,cmn,2024,1,2024-01-02 13:00:00,malpensa,mohamed v,milano,casablanca,ita,mar,italia,marocco,2,19.0,tsc,,,marocco,ita,2,italia,19.0
voli investigati (sdi/nsis - interpol - tsc),fco,beg,2024,1,2024-01-24 06:10:00,fiumicino,nikola tesla,roma,belgrado,ita,srb,italia,serbia,5,1.0,nsis,,,serbia,ita,5,italia,1.0
voli investigati (sdi/nsis - interpol - tsc),aoi,tia,2024,2,2024-02-28 11:20:00,falconara,rinas mother teresa,ancona,tirana,ita,alb,italia,albania,8,1.0,tsc,,,albania,ita,8,italia,1.0
nulla a procedere sdi,fco,pek,2024,1,2024-01-09 13:25:00,fiumicino,beijing capital international,roma,pechino,ita,chn,italia,cina,5,25.0,tsc,,,cina,ita,5,italia,25.0
voli disponibili in ingresso al sistema,vrn,tia,2024,2,2024-02-26 21:25:00,verona villafranca,rinas mother teresa,verona,tirana,ita,alb,italia,albania,4,1.0,tsc,,,albania,ita,4,italia,1.0
"voli solo visualizzati, ma non investigati",cia,tng,2024,2,2024-02-17 09:30:00,ciampino,ibn batouta,roma,tangier,ita,mar,italia,marocco,5,1.0,tsc,,,marocco,ita,5,italia,1.0
viaggiatori entrati nel sistema,peg,tia,2024,2,2024-02-08 15:20:00,sant egidio,//,perugia,tirana,ita,alb,italia,albania,5,224.0,manuale,,,albania,ita,5,italia,224.0
allarmi generati da sdi/nsis,mxp,lrm,2024,2,2024-02-03 19:50:00,malpensa,casa de campo international,milano,la romana,ita,dom,italia,repubblica dominicana,2,26.0,interpol,,,repubblica dominicana,ita,2,italia,26.0
allarmi generati da sdi/nsis,blq,tia,2024,1,2024-01-22 11:15:00,guglielmo marconi,rinas mother teresa,bologna,tirana,ita,alb,italia,albania,8,37.0,interpol,,,albania,ita,8,italia,37.0
viaggiatori con allarmi,bgy,brs,2024,2,2024-02-12 18:10:00,orio al serio,bristol,bergamo,bristol,ita,gbr,italia,regno unito,2,3.0,sdi,,,regno unito,ita,2,italia,3.0
"voli solo visualizzati, ma non investigati",fco,cai,2024,1,2024-01-03 04:30:00,fiumicino,cairo international,roma,cairo,ita,egy,italia,egitto,5,1.0,,,,egitto,ita,5,italia,1.0
voli disponibili in ingresso al sistema,mxp,rak,2024,1,2024-01-12 20:40:00,malpensa,menara,milano,marrakech,ita,mar,italia,marocco,2,1.0,,,,marocco,ita,2,italia,1.0
voli con allarmi,vce,lhr,2024,1,2024-01-24 13:40:00,venezia marco polo,london heathrow,venezia,londra,ita,gbr,italia,regno unito,4,1.0,nsis,,,regno unito,ita,4,italia,1.0
"voli solo visualizzati, ma non investigati",fco,icn,2024,1,2024-01-21 14:05:00,fiumicino,incheon international,roma,seoul,ita,kor,italia,corea del sud,5,1.0,,,,corea del sud,ita,5,italia,1.0
allarmi generati da sdi/nsis,fco,auh,2024,2,2024-02-10 14:40:00,fiumicino,abu dhabi international,roma,abu dhabi,ita,are,italia,emirati arabi uniti,5,15.0,manuale,,,emirati arabi uniti,ita,5,italia,15.0
viaggiatori entrati nel sistema,lin,lcy,2024,1,2024-01-21 13:45:00,linate,london city,milano,?,ita,gbr,italia,regno unito,2,72.0,nsis,,,regno unito,ita,2,italia,72.0
allarmi rilevanti,blq,dxb,2024,1,2024-01-19 08:55:00,guglielmo marconi,dubai international,bologna,dubai,ita,are,italia,emirati arabi uniti,8,1.0,interpol,,,emirati arabi uniti,ita,8,italia,1.0
notifica atti/provv,trn,tia,2024,1,2024-01-09 06:55:00,sandro pertini,rinas mother teresa,torino,tirana,ita,al,italia,albania,1,1.0,nsis,,,albania,ita,1,italia,1.0
allarmi generati da sdi/nsis,fco,lhr,2024,1,2024-01-12 11:55:00,fiumicino,london heathrow,roma,londra,ita,gbr,italia,regno unito,5,3.0,interpol,,,regno unito,ita,5,italia,3.0
voli con allarmi,fco,saw,2023,2,2024-02-16 10:40:00,fiumicino,sabiha gokcen,roma,istanbul,ita,tur,italia,turchia,5,1.0,nsis,,,turchia,ita,5,italia,1.0
voli disponibili in ingresso al sistema,trn,lgw,2024,1,2024-01-04 08:55:00,sandro pertini,london gatwick,torino,londra,ita,gbr,italia,regno unito,1,1.0,sdi,,,regno unito,ita,1,italia,1.0
viaggiatori entrati nel sistema,fco,lhr,2024,1,2024-01-18 07:00:00,fiumicino,london heathrow,roma,londra,ita,gbr,italia,regno unito,5,148.0,,,,regno unito,ita,5,italia,148.0
voli disponibili in ingresso al sistema,vce,ist,2024,1,2024-01-27 13:05:00,venezia marco polo,havalimani,venezia,,ita,tur,italia,turchia,4,1.0,nsis,,,turchia,ita,4,italia,1.0
allarmi chiusi,fco,del,2024,1,2024-01-17 03:45:00,fiumicino,indira gandhi international,roma,nuova delhi,ita,ind,italia,india,5,16.0,,,,india,ita,5,italia,16.0
voli con allarmi,fco,cai,2024,1,2024-01-14 10:00:00,fiumicino,cairo international,roma,cairo,ita,egy,italia,egitto,5,1.0,manuale,,,egitto,ita,5,italia,1.0
voli disponibili in ingresso al sistema,fco,ruh,2024,1,2024-01-17 09:30:00,fiumicino,king khaled international,roma,riyadh,ita,sau,italia,arabia saudita,5,1.0,sdi,,,arabia saudita,ita,5,italia,1.0
allarmi chiusi,aoi,stn,2024,1,2024-01-26 18:25:00,falconara,stansted,ancona,londra,ita,gbr,italia,regno unito,8,13.0,tsc,alert manuale,,regno unito,ita,8,italia,13.0
nulla a procedere sdi,nap,lgw,2024,1,2024-01-19 14:40:00,napoli capodichino,london gatwick,napoli,londra,ita,gbr,italia,regno unito,6,4.0,sdi,,,regno unito,ita,6,italia,4.0
"voli solo visualizzati, ma non investigati",mxp,ist,2024,1,2024-01-30 12:35:00,malpensa,havalimani,milano,istanbul,ita,tur,italia,turchia,2,1.0,nsis,,,turchia,ita,2,italia,1.0
allarmi generati da sdi/nsis,vce,lhr,2024,1,2024-01-17 17:00:00,venezia marco polo,london heathrow,venezia,londra,ita,gbr,italia,regno unito,4,4.0,interpol,,,regno unito,ita,4,italia,4.0
viaggiatori investigati,mxp,hrg,2024,1,2024-01-02 13:05:00,malpensa,hurghada international,milano,hurghada,ita,,italia,egitto,2,,tsc,,,egitto,ita,2,italia,167.0
voli disponibili in ingresso al sistema,blq,cmn,2024,1,2024-01-12 12:50:00,guglielmo marconi,mohamed v,bologna,casablanca,ita,mar,italia,marocco,8,1.0,sdi,passeggero noto,,marocco,ita,8,italia,1.0
voli disponibili in ingresso al sistema,pmo,ist,2024,1,2024-01-05 07:55:00,punta raisi,havalimani,palermo,istanbul,ita,tur,italia,turchia,7,1.0,sdi,,,turchia,ita,7,italia,1.0
voli investigati (sdi/nsis - interpol - tsc),mxp,lgw,2024,1,2024-01-14 09:35:00,malpensa,?,milano,londra,ita,gbr,italia,?,2,1.0,,,,regno unito,ita,2,italia,1.0
viaggiatori entrati nel sistema,fco,rmo,2024,2,2024-02-15 06:00:00,fiumicino,chisinau international airport,roma,chisinau,ita,mda,italia,moldavia,5,93.0,sdi,,,moldavia,ita,5,italia,93.0
viaggiatori entrati nel sistema,tsf,tia,2024,1,2024-01-02 20:20:00,treviso-sant'angelo,rinas mother teresa,treviso,tirana,ita,alb,italia,albania,4,177.0,interpol,,,albania,ita,4,italia,177.0
voli investigati (sdi/nsis - interpol - tsc),cia,man,2024,2,2024-02-02 06:45:00,ciampino,manchester,roma,manchester,ita,gbr,italia,regno unito,5,1.0,tsc,,,regno unito,ita,5,italia,1.0
"voli solo visualizzati, ma non investigati",mxp,jed,2024,2,,malpensa,king abdulaziz international,milano,jeddah,ita,sau,italia,arabia saudita,2,1.0,,,,arabia saudita,ita,2,italia,1.0
nulla a procedere sdi,pmf,rmo,2024,1,2024-01-31 13:40:00,parma,chisinau international airport,parma,chisinau,ita,mda,italia,moldavia,8,,,,,moldavia,ita,8,italia,
viaggiatori entrati nel sistema,fco,icn,2024,2,2024-02-14 13:20:00,fiumicino,incheon international,roma,seoul,ita,kor,italia,corea del sud,5,278.0,nsis,,,corea del sud,ita,5,italia,278.0
allarmi generati da sdi/nsis,lin,lhr,2024,1,,linate,london heathrow,milano,londra,ita,gbr,italia,regno unito,2,3.0,interpol,,,regno unito,ita,2,italia,3.0
voli investigati (sdi/nsis - interpol - tsc),fco,tia,2023,1,,fiumicino,rinas mother teresa,roma,tirana,ita,alb,italia,albania,5,1.0,tsc,,,albania,ita,5,italia,1.0
voli disponibili in ingresso al sistema,psr,stn,2024,1,2024-01-02 16:30:00,liberi,stansted,pescara,londra,ita,gbr,italia,regno unito,9,1.0,,,,regno unito,ita,9,italia,1.0
voli disponibili in ingresso al sistema,tsf,rak,2024,1,2024-01-18 12:00:00,treviso-sant'angelo,menara,treviso,marrakech,ita,mar,italia,marocco,4,1.0,,,,marocco,ita,4,italia,1.0
allarmi chiusi,cag,stn,2024,2,2024-02-04 20:15:00,elmas,,cagliari,londra,ita,gbr,italia,regno unito,5,10.0,manuale,,,regno unito,ita,5,italia,10.0
viaggiatori con allarmi,fco,saw,2024,,2024-02-13 11:00:00,fiumicino,sabiha gokcen,roma,istanbul,ita,tur,italia,turchia,5,2.0,manuale,,,turchia,ita,5,italia,2.0
voli investigati (sdi/nsis - interpol - tsc),bgy,cmn,2024,1,2024-01-01 13:50:00,orio al serio,mohamed v,bergamo,casablanca,ita,mar,italia,marocco,2,1.0,manuale,,,marocco,ita,2,italia,1.0
allarmi generati da sdi/nsis,lin,lhr,2024,2,2024-02-01 15:00:00,linate,london heathrow,milano,londra,ita,gbr,italia,regno unito,2,4.0,interpol,,,regno unito,ita,2,italia,4.0
voli investigati (sdi/nsis - interpol - tsc),fco,eze,2024,2,2024-02-25 13:45:00,fiumicino,ezeiza ministro pistarini,roma,buenos aires,ita,arg,italia,argentina,5,,nsis,,,argentina,ita,5,italia,1.0
allarmi generati da sdi/nsis,bgy,saw,2024,5,2024-02-18 13:15:00,orio al serio,sabiha gokcen,bergamo,istanbul,ita,tr,italia,turchia,2,8.0,manuale,,,turchia,ita,2,italia,8.0
allarmi generati da sdi/nsis,mxp,ssh,2024,1,2024-01-16 19:20:00,malpensa,sharm el-sheikh international,milano,sharm el sheikh,ita,egy,italia,egitto,2,21.0,sdi,,,egitto,ita,2,italia,21.0
respinto/a,blq,tia,2024,1,2024-01-30 18:10:00,guglielmo marconi,rinas mother teresa,bologna,tirana,ita,alb,italia,albania,8,1.0,tsc,,,albania,ita,8,italia,1.0
viaggiatori con allarmi,mxp,doh,2024,2,2024-02-16 08:55:00,malpensa,hamad international,milano,doha,ita,qat,italia,qatar,2,22.0,,,,qatar,ita,2,italia,22.0
viaggiatori con allarmi,mxp,cai,2024,2,2024-02-05 09:35:00,malpensa,cairo international,milano,cairo,ita,egy,italia,egitto,2,16.0,interpol,,,egitto,ita,2,italia,16.0
viaggiatori entrati nel sistema,fco,jfk,2024,1,2024-01-26 17:50:00,fiumicino,,roma,new york,ita,usa,italia,stati uniti,5,214.0,nsis,,,stati uniti,ita,5,italia,214.0
viaggiatori con allarmi,bgy,ema,2024,1,2024-01-28 10:20:00,orio al serio,east midlands,bergamo,derby,ita,gbr,italia,regno unito,2,22.0,interpol,,,regno unito,ita,2,italia,22.0
"voli solo visualizzati, ma non investigati",mxp,rak,2024,2,2024-02-26 17:05:00,malpensa,menara,milano,marrakech,ita,mar,italia,marocco,2,1.0,manuale,,,marocco,ita,2,italia,1.0
viaggiatori entrati nel sistema,mxp,mle,2024,2,2024-02-13 11:15:00,malpensa,male international,milano,male,ita,mdv,italia,maldive,2,363.0,tsc,,,maldive,ita,2,italia,363.0
voli investigati (sdi/nsis - interpol - tsc),nap,ist,2024,,2024-01-25 17:55:00,napoli capodichino,havalimani,napoli,istanbul,ita,tur,italia,turchia,6,1.0,,,,turchia,ita,6,italia,1.0
viaggiatori entrati nel sistema,mxp,mct,2024,2,2024-02-15 14:15:00,malpensa,seeb,milano,muscat,ita,omn,italia,oman,2,231.0,interpol,,,oman,ita,2,italia,231.0
allarmi generati da sdi/nsis,vce,rmo,2024,2,2024-02-27 13:20:00,venezia marco polo,chisinau international airport,venezia,chisinau,ita,mda,italia,moldavia,4,20.0,sdi,,,moldavia,ita,4,italia,20.0
viaggiatori investigati,fco,icn,2024,1,2024-01-11 14:05:00,fiumicino,incheon international,roma,seoul,ita,,italia,corea del sud,5,299.0,tsc,,,corea del sud,ita,5,italia,299.0
allarmi generati da sdi/nsis,blq,ist,2024,,2024-01-08 09:25:00,guglielmo marconi,havalimani,bologna,istanbul,ita,tur,italia,turchia,8,5.0,,,,turchia,ita,8,italia,5.0
viaggiatori investigati,fco,doh,2024,2,2024-02-12 15:35:00,fiumicino,hamad international,roma,doha,ita,qat,italia,qatar,5,181.0,nsis,,alto,qatar,ita,5,italia,181.0
viaggiatori entrati nel sistema,mxp,lhr,2024,1,2024-01-25 17:00:00,malpensa,london heathrow,milano,londra,ita,gbr,italia,regno unito,2,159.0,sdi,,,regno unito,ita,2,italia,159.0
allarmi chiusi,mxp,cai,2024,1,2024-01-17 09:35:00,malpensa,cairo international,milano,cairo,ita,egy,italia,egitto,2,33.0,tsc,,,egitto,ita,2,italia,33.0
allarmi generati da sdi/nsis,fco,ist,2024,1,2024-01-20 13:05:00,fiumicino,havalimani,roma,?,ita,tur,italia,turchia,5,7.0,nsis,,,turchia,ita,5,italia,7.0
voli disponibili in ingresso al sistema,bgy,brs,,2,2024-02-26 18:10:00,orio al serio,bristol,bergamo,bristol,ita,gbr,italia,regno unito,2,1.0,tsc,,,regno unito,ita,2,italia,1.0
viaggiatori investigati,blq,saw,2023,1,2024-01-14 11:30:00,guglielmo marconi,sabiha gokcen,bologna,istanbul,ita,tur,italia,turchia,8,161.0,manuale,,,turchia,ita,8,italia,161.0
voli disponibili in ingresso al sistema,fco,lhr,2024,1,2024-01-11 07:00:00,fiumicino,london heathrow,roma,londra,ita,gbr,italia,regno unito,5,1.0,interpol,,,regno unito,ita,5,italia,1.0
voli investigati (sdi/nsis - interpol - tsc),mxp,tia,2024,2,2024-02-07 06:20:00,malpensa,rinas mother teresa,milano,tirana,ita,alb,italia,albania,2,1.0,sdi,,,albania,ita,2,italia,1.0
allarmi generati da sdi/nsis,mxp,gyd,2024,1,2024-01-22 07:30:00,malpensa,heydar aliyev international,milano,baku,ita,aze,italia,azerbaigian,2,3.0,sdi,,,azerbaigian,ita,2,italia,3.0
voli investigati (sdi/nsis - interpol - tsc),cia,stn,2024,2,2024-02-27 14:30:00,ciampino,stansted,roma,londra,ita,gbr,italia,regno unito,5,1.0,,,,regno unito,ita,5,italia,1.0
voli investigati (sdi/nsis - interpol - tsc),fco,icn,2024,1,2024-01-03 13:20:00,fiumicino,incheon international,roma,seoul,ita,kor,italia,corea del sud,5,1.0,manuale,,,corea del sud,ita,5,italia,1.0
voli con allarmi,lin,lhr,2024,1,2024-01-16 06:45:00,linate,london heathrow,milano,londra,ita,gbr,italia,regno unito,2,1.0,nsis,doppio controllo,,regno unito,ita,2,italia,1.0
viaggiatori investigati,mxp,sid,2024,2,2024-02-07 14:10:00,malpensa,amilcar cabral international,milano,sal,ita,cpv,italia,capo verde,2,6.0,nsis,,,capo verde,ita,2,italia,6.0
viaggiatori con allarmi,vrn,znz,2024,2,2024-02-13 09:30:00,verona villafranca,kisauni,verona,zanzibar,ita,tza,italia,tanzania,4,,manuale,,,tanzania,ita,4,italia,21.0
"voli solo visualizzati, ma non investigati",mxp,cai,2024,1,2024-01-23 13:30:00,malpensa,cairo international,milano,,ita,egy,italia,egitto,2,1.0,tsc,,,egitto,ita,2,italia,1.0
voli investigati (sdi/nsis - interpol - tsc),bgy,lgw,2024,9,2024-02-04 06:50:00,orio al serio,london gatwick,bergamo,londra,ita,gbr,italia,regno unito,2,1.0,interpol,,,regno unito,ita,2,italia,1.0
voli disponibili in ingresso al sistema,mxp,lgw,2024,2,2024-02-04 21:10:00,malpensa,london gatwick,milano,londra,ita,gbr,italia,regno unito,2,1.0,sdi,,,regno unito,ita,2,italia,1.0
viaggiatori investigati,psa,tia,2024,,2024-01-01 15:15:00,galileo galilei,rinas mother teresa,pisa,tirana,ita,alb,italia,albania,8,171.0,sdi,,,albania,ita,8,italia,171.0
voli disponibili in ingresso al sistema,mxp,tun,2024,1,2024-01-18 15:00:00,malpensa,carthage,milano,tunis,ita,tun,italia,tunisia,2,1.0,tsc,,,tunisia,ita,2,italia,1.0
voli disponibili in ingresso al sistema,bgy,edi,2024,2,2024-02-22 14:30:00,orio al serio,edinburgh,bergamo,edinburgh,ita,gbr,italia,regno unito,2,1.0,nsis,,,regno unito,ita,2,italia,1.0
