occorrenze,areoporto_arrivo,areoporto_partenza,anno_partenza,mese_partenza,data_partenza,descr_aereoporto_arr,descr_aereoporto_part,citta_arr,citta_partenza,codice_paese_arr,codice_paese_part,paese_arr,paese_part,zona,tot,motivo_allarme,note_operatore,flag_rischio,paese_partenza,codice_paese_arr__1,col_3zona,paese_arr__1,tot_voli
viaggiatori entrati nel sistema,lin,lhr,2024,2,2024-02-10 10:20:00,linate,london heathrow,milano,londra,ita,gbr,italia,regno unito,2,153.0,,,,regno unito,ita,2,italia,153.0
voli investigati (sdi/nsis - interpol - tsc),vce,lhr,2024,1,2024-01-20 08:40:00,venezia marco polo,london heathrow,venezia,londra,ita,gbr,italia,regno unito,4,1.0,,,,regno unito,ita,4,italia,1.0
voli con allarmi,fco,dfw,2024,1,2024-01-03 18:41:00,fiumicino,dallas/fort worth international,roma,dallas-fort worth,ita,usa,italia,stati uniti,5,1.0,tsc,,,stati uniti,ita,5,italia,1.0
viaggiatori entrati nel sistema,vce,lgw,2024,1,2024-01-08 09:00:00,venezia marco polo,london gatwick,venezia,londra,ita,gbr,italia,regno unito,4,43.0,tsc,passeggero noto,,regno unito,ita,4,italia,43.0
"voli solo visualizzati, ma non investigati",blq,lhr,2024,2,,guglielmo marconi,london heathrow,bologna,londra,ita,gbr,italia,regno unito,8,1.0,manuale,,,regno unito,ita,8,italia,1.0
"voli solo visualizzati, ma non investigati",cia,man,2024,2,2024-02-23 06:45:00,ciampino,manchester,roma,manchester,ita,gbr,italia,regno unito,5,1.0,interpol,,,regno unito,ita,5,italia,1.0
voli investigati (sdi/nsis - interpol - tsc),fco,gru,2024,,2024-02-04 20:40:00,fiumicino,,roma,san paolo,ita,bra,italia,brasile,5,1.0,,,,brasile,ita,5,italia,1.0
voli investigati (sdi/nsis - interpol - tsc),fco,cai,2024,2,2024-02-01 17:55:00,fiumicino,cairo international,roma,cairo,ita,egy,italia,egitto,5,1.0,interpol,,,egitto,ita,5,italia,1.0
voli con allarmi,fco,gig,2024,3,,fiumicino,galeao-antonio carlos jobim international,roma,rio de janeiro,ita,bra,italia,brasile,5,1.0,tsc,,,brasile,ita,5,italia,1.0
allarmi generati da sdi/nsis,vce,lhr,2024,2,2024-02-06 17:10:00,venezia marco polo,london heathrow,venezia,londra,ita,gbr,italia,regno unito,4,4.0,tsc,,,regno unito,ita,4,italia,4.0
viaggiatori con allarmi,fco,tia,2024,1,2024-01-25 05:35:00,fiumicino,rinas mother teresa,roma,tirana,ita,alb,italia,albania,5,6.0,interpol,,,albania,ita,5,italia,6.0
viaggiatori entrati nel sistema,cia,rba,2024,1,2024-01-12 18:55:00,ciampino,sale,roma,rabat,ita,mar,italia,marocco,5,190.0,,,,marocco,ita,5,italia,190.0
allarmi generati da sdi/nsis,mxp,ewr,2024,1,2024-01-19 18:05:00,malpensa,?,milano,newark,ita,usa,italia,stati uniti,2,3.0,interpol,,,stati uniti,ita,2,italia,3.0
viaggiatori investigati,lin,lhr,2024,2,2024-02-02 12:25:00,linate,london heathrow,milano,londra,fra,gbr,italia,regno unito,2,89.0,sdi,,,regno unito,ita,2,italia,89.0
viaggiatori entrati nel sistema,fco,mba,2024,2,2024-02-01 11:00:00,fiumicino,moi international,roma,mombasa,ita,ken,italia,kenya,5,,interpol,,,kenya,ita,5,italia,
viaggiatori entrati nel sistema,psa,stn,2023,2,,galileo galilei,stansted,pisa,londra,ita,gbr,italia,regno unito,8,186.0,,,,regno unito,ita,8,italia,186.0
voli disponibili in ingresso al sistema,vce,lhr,2024,1,,venezia marco polo,london heathrow,venezia,londra,ita,gbr,italia,regno unito,4,1.0,interpol,,,regno unito,ita,4,italia,1.0
voli disponibili in ingresso al sistema,mxp,cmn,2024,2,2024-02-19 13:00:00,malpensa,mohamed v,milano,casablanca,ita,mar,italia,marocco,2,1.0,manuale,,,marocco,ita,2,italia,1.0
allarmi chiusi,mxp,man,2024,2,2024-02-16 07:45:00,malpensa,manchester,milano,manchester,ita,gbr,italia,regno unito,2,2.0,tsc,,,regno unito,ita,2,italia,2.0
viaggiatori con allarmi,bgy,saw,2024,10,2024-01-17 10:35:00,orio al serio,sabiha gokcen,bergamo,istanbul,ita,tur,italia,,2,10.0,manuale,,,turchia,ita,2,italia,11.0
voli disponibili in ingresso al sistema,flr,lgw,2024,10,2024-01-17 10:25:00,firenze peretola,london gatwick,firenze,londra,ita,gbr,italia,regno unito,8,1.0,tsc,,,regno unito,ita,8,italia,1.0
voli con allarmi,fco,ist,2024,1,2024-01-22 17:55:00,fiumicino,havalimani,roma,istanbul,ita,tur,italia,turchia,5,1.0,,,,turchia,ita,5,italia,1.0
"voli solo visualizzati, ma non investigati",bgy,stn,2024,1,2024-01-10 11:55:00,orio al serio,stansted,bergamo,londra,ita,gbr,italia,regno unito,2,2.0,sdi,,,regno unito,ita,2,italia,1.0
allarmi rilevanti,pmo,tun,2024,2,2024-02-24 10:30:00,punta raisi,,palermo,tunis,ita,tun,italia,tunisia,7,1.0,interpol,,,tunisia,ita,7,italia,1.0
allarmi rilevanti,mxp,auh,2024,1,2024-01-15 14:45:00,malpensa,abu dhabi international,milano,abu dhabi,ita,are,italia,emirati arabi uniti,2,1.0,tsc,,,emirati arabi uniti,ita,2,italia,1.0
viaggiatori investigati,fco,auh,2024,2,2024-02-11 02:25:00,fiumicino,abu dhabi international,roma,abu dhabi,ita,are,italia,emirati arabi uniti,5,367.0,,,,emirati arabi uniti,ita,5,italia,367.0
viaggiatori entrati nel sistema,mxp,tun,2024,2,2024-02-26 07:45:00,malpensa,carthage,milano,tunis,ita,tun,italia,,2,88.0,sdi,,,tunisia,ita,2,italia,88.0
voli disponibili in ingresso al sistema,fco,gru,2024,2,2024-02-24 18:00:00,fiumicino,sao paulo/guarulhos-governador andre franco montoro international,roma,san paolo,ita,,italia,brasile,5,1.0,tsc,,,brasile,ita,5,italia,1.0
allarmi chiusi,bgy,tia,2024,1,2024-01-02 12:10:00,orio al serio,rinas mother teresa,bergamo,tirana,ita,xx,italia,albania,2,27.0,,,,albania,ita,2,italia,27.0
voli con allarmi,mxp,ssh,2024,2,2024-02-03 19:45:00,malpensa,sharm el-sheikh international,milano,sharm el sheikh,ita,egy,italia,egitto,2,1.0,nsis,,,egitto,ita,2,italia,1.0
"voli solo visualizzati, ma non investigati",blq,kiv,2024,1,2024-01-12 20:00:00,guglielmo marconi,chisinau international airport,bologna,chisinau,ita,mda,italia,moldavia,8,1.0,nsis,,,moldavia,ita,8,italia,1.0
allarmi generati da sdi/nsis,mxp,tun,2024,2,2024-02-04 09:00:00,malpensa,carthage,milano,tunis,ita,tun,italia,tunisia,2,,sdi,,,tunisia,ita,2,italia,
allarmi non chiusi,fco,pek,2024,1,,fiumicino,beijing capital international,roma,pechino,ita,chn,italia,cina,5,1.0,sdi,,,cina,ita,5,italia,1.0
nulla a procedere sdi,aoi,stn,2024,2,2024-02-16 18:25:00,falconara,stansted,ancona,londra,ita,gbr,italia,regno unito,8,8.0,,,,regno unito,ita,8,italia,8.0
voli con allarmi,mxp,cai,2024,2,2024-02-11 14:45:00,malpensa,cairo international,milano,cairo,ita,eg,italia,?,2,1.0,manuale,,,egitto,ita,2,italia,1.0
viaggiatori con allarmi,mxp,ist,2024,2,2024-02-19 12:35:00,malpensa,havalimani,milano,istanbul,ita,tur,italia,turchia,2,15.0,interpol,,,turchia,ita,2,italia,15.0
errata segnalazione bcs,mxp,icn,2024,2,2024-02-16 12:10:00,malpensa,incheon international,milano,seoul,ita,kor,italia,corea del sud,2,5.0,tsc,,,corea del sud,ita,2,italia,5.0
