dataset,group_key,group_volume,n_records,rate,baseline_mean,baseline_std
allarmi_raw,ltn|blq,42.0,8,5.25,5.25,5.70087712549569
allarmi_raw,ltn|cia,1.0,1,1.0,1.0,
allarmi_raw,ltn|cta,114.0,5,22.8,22.8,47.6308723413712
allarmi_raw,ltn|lin,3.0,3,1.0,1.0,0.0
allarmi_raw,ltn|mxp,378.0,15,25.2,25.2,49.877277964448474
allarmi_raw,ltn|nap,301.0,15,20.066666666666666,21.5,49.085090952815335
allarmi_raw,ltn|trn,132.0,5,26.4,26.4,52.36220010656542
allarmi_raw,ltn|tsf,14.0,5,2.8,3.5,5.0
allarmi_raw,lxr|mxp,9.0,3,3.0,3.0,3.4641016151377544
allarmi_raw,lyx|trn,3.0,1,3.0,3.0,
allarmi_raw,man|bgy,522.0,14,37.285714285714285,37.285714285714285,71.51054636735927
allarmi_raw,man|blq,357.0,5,71.4,71.4,88.49180753041493
allarmi_raw,man|cia,1253.0,24,52.208333333333336,52.208333333333336,80.8256196827556
allarmi_raw,man|fco,638.0,9,70.88888888888889,70.88888888888889,85.82896429009912
allarmi_raw,man|mxp,395.0,19,20.789473684210527,20.789473684210527,57.00348814606623
allarmi_raw,man|nap,672.0,9,74.66666666666667,74.66666666666667,86.10749096333025
allarmi_raw,man|psa,486.0,11,44.18181818181818,44.18181818181818,71.32014888068893
allarmi_raw,man|trn,1099.0,14,78.5,78.5,81.41040379554597
allarmi_raw,man|vce,415.0,20,20.75,20.75,49.56003801876117
allarmi_raw,man|vrn,204.0,4,51.0,51.0,90.90654541890808
allarmi_raw,mba|fco,723.0,5,144.6,180.75,195.9087797930455
allarmi_raw,mba|mxp,399.0,4,99.75,99.75,152.8645914963087
allarmi_raw,mbj|mxp,1.0,2,0.5,0.5,0.7071067811865476
allarmi_raw,mct|mxp,1283.5,20,64.175,64.175,96.09004480447658
allarmi_raw,mex|fco,433.0,10,43.3,43.3,88.14136372895533
allarmi_raw,mia|fco,853.0,16,53.3125,56.86666666666667,107.08332314248608
allarmi_raw,mji|fco,3.0,4,0.75,1.0,0.0
allarmi_raw,mle|fco,945.0,15,63.0,63.0,122.93378008389023
allarmi_raw,mle|mxp,364.0,2,182.0,182.0,255.9726547895302
allarmi_raw,mru|fco,23.0,2,11.5,11.5,14.849242404917497
allarmi_raw,ncl|bgy,193.0,9,21.444444444444443,21.444444444444443,41.63565512607887
allarmi_raw,ncl|fco,1.0,1,1.0,1.0,
allarmi_raw,ncl|trn,547.0,5,109.4,109.4,98.958577192682
allarmi_raw,nht|lin,1.0,1,1.0,1.0,
allarmi_raw,nkg|mxp,396.0,5,79.2,79.2,97.23271054537152
allarmi_raw,oak|lin,1.0,1,1.0,1.0,
allarmi_raw,oxf|lin,5.0,1,5.0,5.0,
allarmi_raw,pek|fco,1165.0,18,64.72222222222223,64.72222222222223,101.33799331390419
allarmi_raw,pek|mxp,1402.0,17,82.47058823529412,87.625,122.8228398955178
allarmi_raw,phl|fco,592.0,10,59.2,59.2,92.60645525855936
allarmi_raw,phl|psa,4.0,1,4.0,4.0,
allarmi_raw,prn|mxp,543.0,8,67.875,67.875,112.53118615362968
allarmi_raw,pvg|fco,550.0,14,39.285714285714285,45.833333333333336,88.82447792578283
allarmi_raw,pvg|mxp,311.0,16,19.4375,19.4375,62.91048534756879
